,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,modelRun,periodSchedule,swell_height2,swell_direction3,swell_height1,surf_min,swell_height3,swell_period1,surf_max,modelCode,swell_period2,swell_direction2,swell_direction1,swell_period3,dateStamp
2016-06-09T20:00:00+00:00,1200,NNW,13.3,87.8,1015,15,15.9,15.3,1.6,6.0,,,,,,,,,,,,,,,
2016-06-09T21:00:00+00:00,1260,NW,13.3,87.2,1016,14,15.7,15.4,1.7,6.0,,,,,,,,,,,,,,,
2016-06-09T22:00:00+00:00,1320,NW,13.2,87.7,1016,13,15.7,15.2,1.6,6.0,,,,,,,,,,,,,,,
2016-06-09T23:00:00+00:00,1380,NW,13.0,86.1,1016,13,15.9,15.3,1.6,6.0,,,,,,,,,,,,,,,
2016-06-10T00:00:00+00:00,0,NW,12.5,84.4,1016,13,15.8,15.1,1.5,6.0,,,,,,,,,,,,,,,
2016-06-10T01:00:00+00:00,60,NW,12.3,83.8,1015,12,15.9,15.0,1.5,6.0,2016060912.0,0100,2.7,19.0,4.7,3.56,1.2,9.3,4.52,undefined,3.9,333.0,272.0,3.9,"June 10, 2016 01:00:00"
2016-06-10T02:00:00+00:00,120,NW,12.2,83.2,1015,12,15.9,15.0,1.6,6.0,,,,,,,,,,,,,,,
2016-06-10T03:00:00+00:00,180,NW,12.2,83.8,1015,12,15.8,14.9,1.5,5.0,,,,,,,,,,,,,,,
2016-06-10T04:00:00+00:00,240,NW,12.0,82.7,1015,11,15.8,14.9,1.5,6.0,,,,,,,,,,,,,,,
2016-06-10T05:00:00+00:00,300,NW,11.7,81.6,1015,11,15.8,14.8,1.4,5.0,,,,,,,,,,,,,,,
2016-06-10T06:00:00+00:00,360,NW,11.4,79.9,1015,10,15.9,14.8,1.6,6.0,,,,,,,,,,,,,,,
2016-06-10T07:00:00+00:00,420,NW,11.2,79.4,1015,9,15.8,14.7,1.6,6.0,2016061000.0,0700,3.7,22.0,4.5,3.37,1.8,9.3,4.33,undefined,4.7,329.0,272.0,4.3,"June 10, 2016 07:00:00"
2016-06-10T08:00:00+00:00,480,WNW,11.1,78.3,1015,7,15.7,14.8,1.4,6.0,,,,,,,,,,,,,,,
2016-06-10T09:00:00+00:00,540,W,11.9,80.0,1015,7,16.0,15.3,1.4,6.0,,,,,,,,,,,,,,,
2016-06-10T10:00:00+00:00,600,WSW,12.1,83.7,1015,6,15.9,14.8,1.3,6.0,,,,,,,,,,,,,,,
2016-06-10T11:00:00+00:00,660,NW,11.7,80.5,1015,8,15.9,15.0,1.3,6.0,,,,,,,,,,,,,,,
2016-06-10T12:00:00+00:00,720,NW,11.7,80.0,1015,8,16.1,15.1,1.1,6.0,,,,,,,,,,,,,,,
2016-06-10T13:00:00+00:00,780,NW,11.2,77.8,1015,7,16.3,15.0,1.2,6.0,2016061000.0,1300,3.7,23.0,4.4,3.05,1.9,9.3,4.03,undefined,5.2,331.0,273.0,4.7,"June 10, 2016 13:00:00"
2016-06-10T14:00:00+00:00,840,WNW,11.7,77.0,1015,6,16.1,15.7,1.0,5.0,,,,,,,,,,,,,,,
2016-06-10T15:00:00+00:00,900,W,10.6,74.3,1014,6,16.6,15.1,1.1,6.0,,,,,,,,,,,,,,,
2016-06-10T16:00:00+00:00,960,W,11.1,75.4,1014,4,16.6,15.4,1.1,6.0,,,,,,,,,,,,,,,
2016-06-10T17:00:00+00:00,1020,WSW,11.2,75.4,1014,4,16.3,15.5,1.1,6.0,,,,,,,,,,,,,,,
2016-06-10T18:00:00+00:00,1080,WSW,11.5,76.9,1013,5,16.0,15.5,1.2,6.0,,,,,,,,,,,,,,,
2016-06-10T19:00:00+00:00,1140,WSW,11.7,77.4,1013,6,16.4,15.6,1.2,6.0,2016061000.0,1900,4.0,21.0,4.1,2.63,1.9,9.3,3.61,undefined,5.2,333.0,274.0,4.7,"June 10, 2016 19:00:00"
